No accelerated colorspace conversion found from yuv420p to bgr24.
time base :  1/90000
Image 2024-03-07_14-46-10-809333.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-10-876067.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-10-942800.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-11-009533.png saved in 0.12s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-11-076267.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-11-143000.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-11-209733.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-11-276467.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-11-343200.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-11-409933.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-11-476667.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-11-543400.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-11-610133.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-11-676867.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-11-743600.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-11-810333.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-11-877067.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-11-943800.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-12-010533.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-12-077267.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-12-144000.png saved in 0.08s (Img: 0.07s, Coords: 0.00s)
Image 2024-03-07_14-46-12-210733.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-12-277467.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-12-344200.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-12-410933.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-12-477667.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-12-544400.png saved in 0.11s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-12-611133.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-12-677867.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-12-744600.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-12-811333.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-12-878067.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-12-944800.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-13-011533.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-078267.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-145000.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-211733.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-278467.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-13-345200.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-411933.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-13-478667.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-545400.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-612133.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-678867.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-745600.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-812333.png saved in 0.08s (Img: 0.07s, Coords: 0.00s)
Image 2024-03-07_14-46-13-879067.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-13-945800.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-14-012533.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-14-079267.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-14-146000.png saved in 0.14s (Img: 0.14s, Coords: 0.00s)
Image 2024-03-07_14-46-14-212733.png saved in 0.07s (Img: 0.07s, Coords: 0.00s)
Image 2024-03-07_14-46-14-279467.png saved in 0.07s (Img: 0.07s, Coords: 0.00s)
Image 2024-03-07_14-46-14-346200.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-14-412933.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-14-479667.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-14-546400.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-14-613133.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-14-679867.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-14-746600.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-14-813333.png saved in 0.08s (Img: 0.07s, Coords: 0.00s)
Image 2024-03-07_14-46-14-880067.png saved in 0.07s (Img: 0.07s, Coords: 0.00s)
Image 2024-03-07_14-46-14-946800.png saved in 0.08s (Img: 0.07s, Coords: 0.00s)
Image 2024-03-07_14-46-15-013533.png saved in 0.13s (Img: 0.13s, Coords: 0.00s)
Image 2024-03-07_14-46-15-080267.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-15-147000.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-15-213733.png saved in 0.12s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-15-280467.png saved in 0.11s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-15-347200.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-15-413933.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-15-480667.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-15-547400.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
